day 241:

bird n.鸟，雀；女人；嘘声
goose n.(pl.geese)鹅,雌鹅,鹅肉
acquaintance n.认识，相识，了解；相识的人，熟人
petroleum n.石油
cake n.饼，糕，蛋糕；扁平的块状物
world n.世界，地球；…界，领域；世间；全世界
cash n.现金,现款 v.兑现,付(或收)现款
session n.(一届)会议,一段时间
comedy n.喜剧;喜剧性事件
moss n.苔,藓,地衣
compete vi.比赛；竞争；对抗
stripe n.长条，条纹；军服上表示军阶的臂章条纹
yourself pron.[反身代词]你自己；你亲自
eat vt.吃，喝 vi.吃饭，吃东西
fisherman n.渔夫，捕鱼人
brick n.砖块，砖；v.用砖围砌，用砖填补
illegal a.不合法的,非法的
worst a./ad.最坏(的),最差(的)
route n.路线,路程
shortcoming n.短处,缺点
