day 203:

volt n.伏特
brake v./n.制动(器),闸,刹车
mouse n.(pl.mice)鼠,耗子
handy a.手边的,近便的;方便的
abroad ad.到国外，在国外；在传播，在流传
accordance n.一致，和谐，符合
inform v.(of,about)通知,告诉,报告;告发,告密
cereal n.加工而成的谷类食物；谷类植物，谷物
provoke v.挑动;激发;招惹
ourselves pron.[反身代词]我们自己；我们亲自
scorn v./n.轻蔑,藐视
execute v.实行;实施;执行;完成;履行;处死
lounge n.休息室,起居室,客厅
comparative a.比较的,相当的
pressure n.压,压力,压迫,强制,紧迫,困苦,困难
eagle n.鹰
hardship n.艰难,困苦
porter n.守门人,门房,行李搬运工,服务员
presume v.假定,假设,认为,揣测,滥用,擅自行动
altitude n.高度，海拔；[pl.]高处，高地
