day 217:

resultant a.作为结果而发生的;合成的
fleet n.舰队,船队
steward n.乘务员，服务员；看管人；膳食管理员
brim n.边缘,帽沿
memorial a.记忆的,纪念的 n.纪念物,纪念碑,纪念馆
week n.星期，周
badge n.徽章,像章；标记；象征；记号
learning n.知识,学问;学习
leg n.腿，腿部；支柱；(旅程的)一段，一站
summit n.顶，最高点；颠峰，高峰；最高级会议
October n.十月
super a.极好的,超级的
aside ad.在旁边，到一边 n.旁白；离题的话
sofa n.长沙发，沙发
avail n.[一般用于否定句或疑问句中]效用,利益
relativity n.相关(性);相对论
disappear v.不见,消失
enterprise n.事业,企(事)业单位;事业心,进取心
unit n.单位,单元;部件,元件;机组,装置
ozone n.臭氧；(海岸等的)新鲜空气
